Entity,Code,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Afghanistan,AFG,0.16297367857142858,0.7023538571428573,0.09426107142857143,4.848102357142857,2.1207977857142857,4.1186216785714285,0.6631512857142857
Albania,ALB,0.1965435,0.7000915,0.14522971428571427,3.3689025714285714,0.4987652857142857,2.19044225,1.746757392857143
Algeria,DZA,0.19496007142857144,0.8099034285714285,0.19448782142857143,5.011396214285715,1.540639892857143,3.6577425000000003,0.6537120357142857
American Samoa,ASM,0.24978542857142857,0.46709464285714286,0.18125892857142856,3.293311964285714,0.7593548928571429,2.940850107142857,1.1352661071428571
Andorra,AND,0.26449153571428574,0.96432375,0.6214800714285714,5.279750821428571,0.8850443571428571,3.7394505000000002,1.2240823214285714
Angola,AGO,0.16758478571428573,0.6194905357142858,0.14418439285714285,3.2530565714285715,0.5121805714285714,4.183141142857143,1.4164914285714285
Antigua and Barbuda,ATG,0.20487742857142857,0.9235827857142856,0.33245782142857144,4.622427214285715,0.7760198214285714,2.557915107142857,2.1046799642857144
Argentina,ARG,0.1962586785714286,0.7661918214285715,0.36531814285714287,6.2379863928571435,0.9394982857142857,3.6391812142857143,2.0771672142857143
Armenia,ARM,0.19256560714285714,0.7143403571428572,0.14063478571428573,2.5870951785714285,0.4646268214285714,2.6770664642857143,2.041753357142857
Australia,AUS,0.36449785714285715,1.14466,0.8382704285714286,6.550010357142858,2.1942118571428573,4.7954865,1.4903615714285716
Austria,AUT,0.2563848928571429,0.9430237142857143,0.6224523571428572,5.354864607142857,0.862992357142857,3.425945714285714,1.8642418571428572
Azerbaijan,AZE,0.19236875,0.6843735357142856,0.16334692857142857,2.571131642857143,0.4521558214285714,2.5554006785714285,2.21612625
Bahamas,BHS,0.2045645,0.8876945357142858,0.36070071428571426,4.649975500000001,0.79947475,2.6311664642857147,2.0663061785714283
Bahrain,BHR,0.20519014285714285,0.8340713571428572,0.2556731071428571,4.679502321428571,1.7027202142857143,4.146957142857143,0.7381283214285714
Bangladesh,BGD,0.2512981785714286,0.5804175714285714,0.11430760714285715,4.210727821428572,0.50034325,4.187622214285715,1.3829315
Barbados,BRB,0.2299200357142857,0.9184611428571429,0.3187073571428572,4.664407928571428,0.84037375,2.7294921071428573,1.5731964642857144
